open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957283081,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692957283081,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692957283752,m1Cmd:10.362,m2Cmd:13.536,m3Cmd:10.186,s1Cmd:11.725,s2Cmd:-5.025,duration:670
Cmdms:1692957283758,m1Cmd:10.437,m2Cmd:13.636,m3Cmd:10.261,s1Cmd:11.8125,s2Cmd:-5.0625,duration:675
Cmdms:1692957283763,m1Cmd:10.527,m2Cmd:13.756,m3Cmd:10.351,s1Cmd:11.9175,s2Cmd:-5.1075,duration:681
Cmdms:1692957283769,m1Cmd:10.602,m2Cmd:13.856,m3Cmd:10.426,s1Cmd:12.005,s2Cmd:-5.145,duration:686
Cmdms:1692957283774,m1Cmd:10.692,m2Cmd:13.976,m3Cmd:10.516,s1Cmd:12.11,s2Cmd:-5.19,duration:692
Cmdms:1692957283779,m1Cmd:10.767,m2Cmd:14.076,m3Cmd:10.591,s1Cmd:12.1975,s2Cmd:-5.2275,duration:697
Cmdms:1692957283785,m1Cmd:10.857,m2Cmd:14.196,m3Cmd:10.681,s1Cmd:12.3025,s2Cmd:-5.2725,duration:703
Anglems:1692957283785,m1:8.584,m2:11.576,m3:9.112,s1:11.2032,s2:-4.932 ,duration:703
Velms:1692957283785,velM1:13.176,velM2:26.352,velM3:8.784,velS1:17.7,velS2:7.5 ,duration:703
Cmdms:1692957283790,m1Cmd:10.932,m2Cmd:14.296,m3Cmd:10.756,s1Cmd:12.39,s2Cmd:-5.31,duration:708
Cmdms:1692957283796,m1Cmd:11.007,m2Cmd:14.396,m3Cmd:10.831,s1Cmd:12.4775,s2Cmd:-5.3475,duration:713
Cmdms:1692957283801,m1Cmd:11.097,m2Cmd:14.516,m3Cmd:10.921,s1Cmd:12.5825,s2Cmd:-5.3925,duration:719
Cmdms:1692957283806,m1Cmd:11.172,m2Cmd:14.616,m3Cmd:10.996,s1Cmd:12.67,s2Cmd:-5.43,duration:724
