open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
**********************
*angle ms:1692950281018,m1:-0.128,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692950281018,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950281514,m1Cmd:9.772,m2Cmd:14.986,m3Cmd:5.086,s1Cmd:1.65,s2Cmd:3.3,duration:495
Cmdms:1692950281519,m1Cmd:9.892,m2Cmd:15.166,m3Cmd:5.146,s1Cmd:1.67,s2Cmd:3.34,duration:501
Cmdms:1692950281524,m1Cmd:9.992,m2Cmd:15.316,m3Cmd:5.196,s1Cmd:1.68667,s2Cmd:3.37333,duration:506
Cmdms:1692950281530,m1Cmd:10.092,m2Cmd:15.466,m3Cmd:5.246,s1Cmd:1.70333,s2Cmd:3.40667,duration:511
Cmdms:1692950281535,m1Cmd:10.212,m2Cmd:15.646,m3Cmd:5.306,s1Cmd:1.72333,s2Cmd:3.44667,duration:517
Cmdms:1692950281541,m1Cmd:10.312,m2Cmd:15.796,m3Cmd:5.356,s1Cmd:1.74,s2Cmd:3.48,duration:522
Cmdms:1692950281546,m1Cmd:10.432,m2Cmd:15.976,m3Cmd:5.416,s1Cmd:1.76,s2Cmd:3.52,duration:528
Anglems:1692950281546,m1:7.528,m2:12.896,m3:4.36,s1:1.6668,s2:3.0276 ,duration:528
Velms:1692950281546,velM1:21.96,velM2:26.352,velM3:8.784,velS1:3.9,velS2:6.3 ,duration:528
Cmdms:1692950281551,m1Cmd:10.532,m2Cmd:16.126,m3Cmd:5.466,s1Cmd:1.77667,s2Cmd:3.55333,duration:533
Cmdms:1692950281557,m1Cmd:10.632,m2Cmd:16.276,m3Cmd:5.516,s1Cmd:1.79333,s2Cmd:3.58667,duration:538
Cmdms:1692950281562,m1Cmd:10.752,m2Cmd:16.456,m3Cmd:5.576,s1Cmd:1.81333,s2Cmd:3.62667,duration:544
Cmdms:1692950281568,m1Cmd:10.852,m2Cmd:16.606,m3Cmd:5.626,s1Cmd:1.83,s2Cmd:3.66,duration:549
Cmdms:1692950281573,m1Cmd:10.972,m2Cmd:16.786,m3Cmd:5.686,s1Cmd:1.85,s2Cmd:3.7,duration:555
Cmdms:1692950281580,m1Cmd:11.072,m2Cmd:16.936,m3Cmd:5.736,s1Cmd:1.86667,s2Cmd:3.73333,duration:560
Cmdms:1692950281585,m1Cmd:11.212,m2Cmd:17.146,m3Cmd:5.806,s1Cmd:1.89,s2Cmd:3.78,duration:567
Cmdms:1692950281591,m1Cmd:11.312,m2Cmd:17.296,m3Cmd:5.856,s1Cmd:1.90667,s2Cmd:3.81333,duration:572
Anglems:1692950281591,m1:8.408,m2:14.392,m3:4.8,s1:1.6668,s2:3.375 ,duration:572
Velms:1692950281591,velM1:17.568,velM2:35.136,velM3:13.176,velS1:3,velS2:6.6 ,duration:572
Cmdms:1692950281596,m1Cmd:11.432,m2Cmd:17.476,m3Cmd:5.916,s1Cmd:1.92667,s2Cmd:3.85333,duration:578
Cmdms:1692950281602,m1Cmd:11.532,m2Cmd:17.626,m3Cmd:5.966,s1Cmd:1.94333,s2Cmd:3.88667,duration:583
Cmdms:1692950281607,m1Cmd:11.652,m2Cmd:17.806,m3Cmd:6.026,s1Cmd:1.96333,s2Cmd:3.92667,duration:589
Cmdms:1692950281613,m1Cmd:11.752,m2Cmd:17.956,m3Cmd:6.076,s1Cmd:1.98,s2Cmd:3.96,duration:594
Cmdms:1692950281618,m1Cmd:11.872,m2Cmd:18.136,m3Cmd:6.136,s1Cmd:2,s2Cmd:4,duration:600
Cmdms:1692950281625,m1Cmd:11.972,m2Cmd:18.286,m3Cmd:6.186,s1Cmd:2.01667,s2Cmd:4.03333,duration:605
Cmdms:1692950281630,m1Cmd:12.112,m2Cmd:18.496,m3Cmd:6.256,s1Cmd:2.04,s2Cmd:4.08,duration:612
Cmdms:1692950281636,m1Cmd:12.212,m2Cmd:18.646,m3Cmd:6.306,s1Cmd:2.05667,s2Cmd:4.11333,duration:617
Anglems:1692950281636,m1:9.376,m2:15.624,m3:5.24,s1:1.7424,s2:3.726 ,duration:617
Velms:1692950281636,velM1:21.96,velM2:26.352,velM3:8.784,velS1:3.6,velS2:6.9 ,duration:617
Cmdms:1692950281641,m1Cmd:12.332,m2Cmd:18.826,m3Cmd:6.366,s1Cmd:2.07667,s2Cmd:4.15333,duration:623
Cmdms:1692950281647,m1Cmd:12.432,m2Cmd:18.976,m3Cmd:6.416,s1Cmd:2.09333,s2Cmd:4.18667,duration:628
Cmdms:1692950281653,m1Cmd:12.552,m2Cmd:19.156,m3Cmd:6.476,s1Cmd:2.11333,s2Cmd:4.22667,duration:634
Cmdms:1692950281658,m1Cmd:12.672,m2Cmd:19.336,m3Cmd:6.536,s1Cmd:2.13333,s2Cmd:4.26667,duration:640
Cmdms:1692950281664,m1Cmd:12.772,m2Cmd:19.486,m3Cmd:6.586,s1Cmd:2.15,s2Cmd:4.3,duration:645
Cmdms:1692950281669,m1Cmd:12.892,m2Cmd:19.666,m3Cmd:6.646,s1Cmd:2.17,s2Cmd:4.34,duration:651
Cmdms:1692950281674,m1Cmd:12.992,m2Cmd:19.816,m3Cmd:6.696,s1Cmd:2.18667,s2Cmd:4.37333,duration:656
Cmdms:1692950281680,m1Cmd:13.092,m2Cmd:19.966,m3Cmd:6.746,s1Cmd:2.20333,s2Cmd:4.40667,duration:661
Anglems:1692950281680,m1:10.168,m2:17.032,m3:5.68,s1:2.0196,s2:4.0806 ,duration:661
Velms:1692950281680,velM1:17.568,velM2:35.136,velM3:8.784,velS1:3.6,velS2:6.9 ,duration:661
Cmdms:1692950281685,m1Cmd:13.212,m2Cmd:20.146,m3Cmd:6.806,s1Cmd:2.22333,s2Cmd:4.44667,duration:667
Cmdms:1692950281691,m1Cmd:13.312,m2Cmd:20.296,m3Cmd:6.856,s1Cmd:2.24,s2Cmd:4.48,duration:672
Cmdms:1692950281696,m1Cmd:13.432,m2Cmd:20.476,m3Cmd:6.916,s1Cmd:2.26,s2Cmd:4.52,duration:678
Cmdms:1692950281702,m1Cmd:13.532,m2Cmd:20.626,m3Cmd:6.966,s1Cmd:2.27667,s2Cmd:4.55333,duration:683
Cmdms:1692950281707,m1Cmd:13.652,m2Cmd:20.806,m3Cmd:7.026,s1Cmd:2.29667,s2Cmd:4.59333,duration:689
Cmdms:1692950281712,m1Cmd:13.752,m2Cmd:20.956,m3Cmd:7.076,s1Cmd:2.31333,s2Cmd:4.62667,duration:694
Cmdms:1692950281718,m1Cmd:13.852,m2Cmd:21.106,m3Cmd:7.126,s1Cmd:2.33,s2Cmd:4.66,duration:699
Cmdms:1692950281723,m1Cmd:13.972,m2Cmd:21.286,m3Cmd:7.186,s1Cmd:2.35,s2Cmd:4.7,duration:705
Anglems:1692950281723,m1:11.048,m2:18.528,m3:6.12,s1:2.0934,s2:4.4424 ,duration:705
Velms:1692950281723,velM1:21.96,velM2:30.744,velM3:8.784,velS1:3.3,velS2:7.2 ,duration:705
Cmdms:1692950281729,m1Cmd:14.072,m2Cmd:21.436,m3Cmd:7.236,s1Cmd:2.36667,s2Cmd:4.73333,duration:710
Cmdms:1692950281734,m1Cmd:14.192,m2Cmd:21.616,m3Cmd:7.296,s1Cmd:2.38667,s2Cmd:4.77333,duration:716
