open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692950783593,m1:-0.128,m2:0.048,m3:0.136,s1:0,s2:0
*vel ms:1692950783593,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950784082,m1Cmd:9.632,m2Cmd:14.688,m3Cmd:5.016,s1Cmd:14.64,s2Cmd:14.64,duration:488
Anglems:1692950784082,m1:6.56,m2:11.576,m3:3.92,s1:12.2958,s2:12.6054 ,duration:488
Velms:1692950784082,velM1:17.568,velM2:30.744,velM3:8.784,velS1:30.9,velS2:30.9 ,duration:488
Cmdms:1692950784087,m1Cmd:9.732,m2Cmd:14.838,m3Cmd:5.066,s1Cmd:14.79,s2Cmd:14.79,duration:493
Cmdms:1692950784093,m1Cmd:9.852,m2Cmd:15.018,m3Cmd:5.126,s1Cmd:14.97,s2Cmd:14.97,duration:499
Cmdms:1692950784100,m1Cmd:9.972,m2Cmd:15.198,m3Cmd:5.186,s1Cmd:15.15,s2Cmd:15.15,duration:505
Cmdms:1692950784105,m1Cmd:10.112,m2Cmd:15.408,m3Cmd:5.256,s1Cmd:15.36,s2Cmd:15.36,duration:512
Cmdms:1692950784111,m1Cmd:10.212,m2Cmd:15.558,m3Cmd:5.306,s1Cmd:15.51,s2Cmd:15.51,duration:517
Cmdms:1692950784116,m1Cmd:10.332,m2Cmd:15.738,m3Cmd:5.366,s1Cmd:15.69,s2Cmd:15.69,duration:523
Cmdms:1692950784122,m1Cmd:10.432,m2Cmd:15.888,m3Cmd:5.416,s1Cmd:15.84,s2Cmd:15.84,duration:528
Cmdms:1692950784129,m1Cmd:10.552,m2Cmd:16.068,m3Cmd:5.476,s1Cmd:16.02,s2Cmd:16.02,duration:534
Anglems:1692950784129,m1:7.528,m2:12.896,m3:4.36,s1:13.8294,s2:14.0976 ,duration:534
Velms:1692950784129,velM1:21.96,velM2:26.352,velM3:13.176,velS1:30.6,velS2:30.6 ,duration:534
Cmdms:1692950784134,m1Cmd:10.692,m2Cmd:16.278,m3Cmd:5.546,s1Cmd:16.23,s2Cmd:16.23,duration:541
Cmdms:1692950784139,m1Cmd:10.792,m2Cmd:16.428,m3Cmd:5.596,s1Cmd:16.38,s2Cmd:16.38,duration:546
Cmdms:1692950784145,m1Cmd:10.892,m2Cmd:16.578,m3Cmd:5.646,s1Cmd:16.53,s2Cmd:16.53,duration:551
Cmdms:1692950784151,m1Cmd:11.012,m2Cmd:16.758,m3Cmd:5.706,s1Cmd:16.71,s2Cmd:16.71,duration:557
Cmdms:1692950784156,m1Cmd:11.132,m2Cmd:16.938,m3Cmd:5.766,s1Cmd:16.89,s2Cmd:16.89,duration:563
Cmdms:1692950784162,m1Cmd:11.252,m2Cmd:17.118,m3Cmd:5.826,s1Cmd:17.07,s2Cmd:17.07,duration:569
Cmdms:1692950784167,m1Cmd:11.352,m2Cmd:17.268,m3Cmd:5.876,s1Cmd:17.22,s2Cmd:17.22,duration:574
Cmdms:1692950784173,m1Cmd:11.452,m2Cmd:17.418,m3Cmd:5.926,s1Cmd:17.37,s2Cmd:17.37,duration:579
Anglems:1692950784173,m1:8.32,m2:14.304,m3:4.8,s1:15.3378,s2:15.588 ,duration:579
Velms:1692950784173,velM1:17.568,velM2:35.136,velM3:8.784,velS1:30.3,velS2:30.3 ,duration:579
Cmdms:1692950784178,m1Cmd:11.572,m2Cmd:17.598,m3Cmd:5.986,s1Cmd:17.55,s2Cmd:17.55,duration:585
Cmdms:1692950784184,m1Cmd:11.672,m2Cmd:17.748,m3Cmd:6.036,s1Cmd:17.7,s2Cmd:17.7,duration:590
