open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692947065575,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0
*vel ms:1692947065575,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Velms:1692947066318,velM1:17.568,velM2:30.744,velM3:17.568,velS1:3,velS2:7.2 ,duration:742
Cmdms:1692947066323,m1Cmd:14.46,m2Cmd:19.968,m3Cmd:7.694,s1Cmd:2.49,s2Cmd:4.98,duration:747
Cmdms:1692947066329,m1Cmd:14.56,m2Cmd:20.1013,m3Cmd:7.744,s1Cmd:2.50667,s2Cmd:5.01333,duration:752
Cmdms:1692947066334,m1Cmd:14.68,m2Cmd:20.2613,m3Cmd:7.804,s1Cmd:2.52667,s2Cmd:5.05333,duration:758
Cmdms:1692947066339,m1Cmd:14.78,m2Cmd:20.3947,m3Cmd:7.854,s1Cmd:2.54333,s2Cmd:5.08667,duration:763
Cmdms:1692947066345,m1Cmd:14.9,m2Cmd:20.5547,m3Cmd:7.914,s1Cmd:2.56333,s2Cmd:5.12667,duration:769
Cmdms:1692947066350,m1Cmd:15,m2Cmd:20.688,m3Cmd:7.964,s1Cmd:2.58,s2Cmd:5.16,duration:774
Cmdms:1692947066356,m1Cmd:15.1,m2Cmd:20.8213,m3Cmd:8.014,s1Cmd:2.59667,s2Cmd:5.19333,duration:779
Cmdms:1692947066362,m1Cmd:15.22,m2Cmd:20.9813,m3Cmd:8.074,s1Cmd:2.61667,s2Cmd:5.23333,duration:785
Anglems:1692947066362,m1:11.928,m2:17.56,m3:7.176,s1:2.3796,s2:4.8042 ,duration:785
Velms:1692947066362,velM1:13.176,velM2:30.744,velM3:13.176,velS1:3.6,velS2:7.2 ,duration:785
