open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957448182,m1:0.224,m2:0.136,m3:0.224,s1:0,s2:0
*vel ms:1692957448182,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3
**********************
Cmdms:1692957448579,m1Cmd:6.164,m2Cmd:8.056,m3Cmd:6.164,s1Cmd:6.93,s2Cmd:-2.97,duration:396
Cmdms:1692957448584,m1Cmd:6.239,m2Cmd:8.156,m3Cmd:6.239,s1Cmd:7.0175,s2Cmd:-3.0075,duration:401
Cmdms:1692957448590,m1Cmd:6.329,m2Cmd:8.276,m3Cmd:6.329,s1Cmd:7.1225,s2Cmd:-3.0525,duration:407
Cmdms:1692957448595,m1Cmd:6.404,m2Cmd:8.376,m3Cmd:6.404,s1Cmd:7.21,s2Cmd:-3.09,duration:412
Cmdms:1692957448601,m1Cmd:6.479,m2Cmd:8.476,m3Cmd:6.479,s1Cmd:7.2975,s2Cmd:-3.1275,duration:417
Cmdms:1692957448606,m1Cmd:6.569,m2Cmd:8.596,m3Cmd:6.569,s1Cmd:7.4025,s2Cmd:-3.1725,duration:423
Cmdms:1692957448612,m1Cmd:6.644,m2Cmd:8.696,m3Cmd:6.644,s1Cmd:7.49,s2Cmd:-3.21,duration:428
Cmdms:1692957448617,m1Cmd:6.734,m2Cmd:8.816,m3Cmd:6.734,s1Cmd:7.595,s2Cmd:-3.255,duration:434
Anglems:1692957448617,m1:4.184,m2:6.912,m3:4.976,s1:6.2154,s2:-2.9142 ,duration:434
Velms:1692957448617,velM1:4.392,velM2:21.96,velM3:8.784,velS1:18.6,velS2:8.1 ,duration:434
Cmdms:1692957448622,m1Cmd:6.809,m2Cmd:8.916,m3Cmd:6.809,s1Cmd:7.6825,s2Cmd:-3.2925,duration:439
Cmdms:1692957448629,m1Cmd:6.884,m2Cmd:9.016,m3Cmd:6.884,s1Cmd:7.77,s2Cmd:-3.33,duration:444
Cmdms:1692957448635,m1Cmd:6.989,m2Cmd:9.156,m3Cmd:6.989,s1Cmd:7.8925,s2Cmd:-3.3825,duration:451
Cmdms:1692957448641,m1Cmd:7.094,m2Cmd:9.296,m3Cmd:7.094,s1Cmd:8.015,s2Cmd:-3.435,duration:458
Cmdms:1692957448647,m1Cmd:7.169,m2Cmd:9.396,m3Cmd:7.169,s1Cmd:8.1025,s2Cmd:-3.4725,duration:463
Cmdms:1692957448652,m1Cmd:7.259,m2Cmd:9.516,m3Cmd:7.259,s1Cmd:8.2075,s2Cmd:-3.5175,duration:469
Cmdms:1692957448657,m1Cmd:7.334,m2Cmd:9.616,m3Cmd:7.334,s1Cmd:8.295,s2Cmd:-3.555,duration:474
Cmdms:1692957448663,m1Cmd:7.424,m2Cmd:9.736,m3Cmd:7.424,s1Cmd:8.4,s2Cmd:-3.6,duration:480
Anglems:1692957448663,m1:4.712,m2:7.792,m3:5.768,s1:7.047,s2:-3.2634 ,duration:480
Velms:1692957448663,velM1:13.176,velM2:21.96,velM3:21.96,velS1:18.3,velS2:8.4 ,duration:480
Cmdms:1692957448668,m1Cmd:7.499,m2Cmd:9.836,m3Cmd:7.499,s1Cmd:8.4875,s2Cmd:-3.6375,duration:485
Cmdms:1692957448673,m1Cmd:7.574,m2Cmd:9.936,m3Cmd:7.574,s1Cmd:8.575,s2Cmd:-3.675,duration:490
Cmdms:1692957448679,m1Cmd:7.664,m2Cmd:10.056,m3Cmd:7.664,s1Cmd:8.68,s2Cmd:-3.72,duration:496
Cmdms:1692957448686,m1Cmd:7.739,m2Cmd:10.156,m3Cmd:7.739,s1Cmd:8.7675,s2Cmd:-3.7575,duration:501
Cmdms:1692957448692,m1Cmd:7.844,m2Cmd:10.296,m3Cmd:7.844,s1Cmd:8.89,s2Cmd:-3.81,duration:508
Cmdms:1692957448697,m1Cmd:7.934,m2Cmd:10.416,m3Cmd:7.934,s1Cmd:8.995,s2Cmd:-3.855,duration:514
Cmdms:1692957448702,m1Cmd:8.009,m2Cmd:10.516,m3Cmd:8.009,s1Cmd:9.0825,s2Cmd:-3.8925,duration:519
Cmdms:1692957448708,m1Cmd:8.084,m2Cmd:10.616,m3Cmd:8.084,s1Cmd:9.17,s2Cmd:-3.93,duration:524
Anglems:1692957448708,m1:5.504,m2:8.672,m3:6.384,s1:7.965,s2:-3.6252 ,duration:524
Velms:1692957448708,velM1:17.568,velM2:17.568,velM3:17.568,velS1:18,velS2:7.8 ,duration:524
Cmdms:1692957448714,m1Cmd:8.174,m2Cmd:10.736,m3Cmd:8.174,s1Cmd:9.275,s2Cmd:-3.975,duration:530
Cmdms:1692957448721,m1Cmd:8.264,m2Cmd:10.856,m3Cmd:8.264,s1Cmd:9.38,s2Cmd:-4.02,duration:536
Cmdms:1692957448727,m1Cmd:8.369,m2Cmd:10.996,m3Cmd:8.369,s1Cmd:9.5025,s2Cmd:-4.0725,duration:543
Cmdms:1692957448734,m1Cmd:8.459,m2Cmd:11.116,m3Cmd:8.459,s1Cmd:9.6075,s2Cmd:-4.1175,duration:549
Cmdms:1692957448739,m1Cmd:8.564,m2Cmd:11.256,m3Cmd:8.564,s1Cmd:9.73,s2Cmd:-4.17,duration:556
Cmdms:1692957448744,m1Cmd:8.639,m2Cmd:11.356,m3Cmd:8.639,s1Cmd:9.8175,s2Cmd:-4.2075,duration:561
Cmdms:1692957448750,m1Cmd:8.729,m2Cmd:11.476,m3Cmd:8.729,s1Cmd:9.9225,s2Cmd:-4.2525,duration:567
Anglems:1692957448750,m1:6.296,m2:9.64,m3:7,s1:8.8218,s2:-3.9996 ,duration:567
Velms:1692957448750,velM1:17.568,velM2:21.96,velM3:13.176,velS1:17.7,velS2:7.8 ,duration:567
Cmdms:1692957448756,m1Cmd:8.804,m2Cmd:11.576,m3Cmd:8.804,s1Cmd:10.01,s2Cmd:-4.29,duration:572
Cmdms:1692957448764,m1Cmd:8.909,m2Cmd:11.716,m3Cmd:8.909,s1Cmd:10.1325,s2Cmd:-4.3425,duration:579
Cmdms:1692957448770,m1Cmd:9.014,m2Cmd:11.856,m3Cmd:9.014,s1Cmd:10.255,s2Cmd:-4.395,duration:586
Cmdms:1692957448777,m1Cmd:9.104,m2Cmd:11.976,m3Cmd:9.104,s1Cmd:10.36,s2Cmd:-4.44,duration:592
Cmdms:1692957448782,m1Cmd:9.209,m2Cmd:12.116,m3Cmd:9.209,s1Cmd:10.4825,s2Cmd:-4.4925,duration:599
Cmdms:1692957448788,m1Cmd:9.299,m2Cmd:12.236,m3Cmd:9.299,s1Cmd:10.5875,s2Cmd:-4.5375,duration:605
Cmdms:1692957448793,m1Cmd:9.374,m2Cmd:12.336,m3Cmd:9.374,s1Cmd:10.675,s2Cmd:-4.575,duration:610
Anglems:1692957448793,m1:7.088,m2:9.64,m3:7.704,s1:9.729,s2:-3.9996 ,duration:610
Velms:1692957448793,velM1:17.568,velM2:21.96,velM3:17.568,velS1:17.7,velS2:8.1 ,duration:610
Cmdms:1692957448799,m1Cmd:9.449,m2Cmd:12.436,m3Cmd:9.449,s1Cmd:10.7625,s2Cmd:-4.6125,duration:615
Cmdms:1692957448804,m1Cmd:9.539,m2Cmd:12.556,m3Cmd:9.539,s1Cmd:10.8675,s2Cmd:-4.6575,duration:621
Cmdms:1692957448810,m1Cmd:9.614,m2Cmd:12.656,m3Cmd:9.614,s1Cmd:10.955,s2Cmd:-4.695,duration:626
Cmdms:1692957448815,m1Cmd:9.704,m2Cmd:12.776,m3Cmd:9.704,s1Cmd:11.06,s2Cmd:-4.74,duration:632
Cmdms:1692957448820,m1Cmd:9.779,m2Cmd:12.876,m3Cmd:9.779,s1Cmd:11.1475,s2Cmd:-4.7775,duration:637
Cmdms:1692957448827,m1Cmd:9.854,m2Cmd:12.976,m3Cmd:9.854,s1Cmd:11.235,s2Cmd:-4.815,duration:642
Cmdms:1692957448832,m1Cmd:9.959,m2Cmd:13.116,m3Cmd:9.959,s1Cmd:11.3575,s2Cmd:-4.8675,duration:649
Cmdms:1692957448837,m1Cmd:10.034,m2Cmd:13.216,m3Cmd:10.034,s1Cmd:11.445,s2Cmd:-4.905,duration:654
Anglems:1692957448837,m1:7.792,m2:10.52,m3:8.496,s1:10.5696,s2:-4.3344 ,duration:654
Velms:1692957448837,velM1:13.176,velM2:21.96,velM3:13.176,velS1:17.7,velS2:7.8 ,duration:654
Cmdms:1692957448843,m1Cmd:10.109,m2Cmd:13.316,m3Cmd:10.109,s1Cmd:11.5325,s2Cmd:-4.9425,duration:659
Cmdms:1692957448849,m1Cmd:10.199,m2Cmd:13.436,m3Cmd:10.199,s1Cmd:11.6375,s2Cmd:-4.9875,duration:665
Cmdms:1692957448856,m1Cmd:10.289,m2Cmd:13.556,m3Cmd:10.289,s1Cmd:11.7425,s2Cmd:-5.0325,duration:671
Cmdms:1692957448861,m1Cmd:10.394,m2Cmd:13.696,m3Cmd:10.394,s1Cmd:11.865,s2Cmd:-5.085,duration:678
Cmdms:1692957448867,m1Cmd:10.469,m2Cmd:13.796,m3Cmd:10.469,s1Cmd:11.9525,s2Cmd:-5.1225,duration:683
Cmdms:1692957448872,m1Cmd:10.559,m2Cmd:13.916,m3Cmd:10.559,s1Cmd:12.0575,s2Cmd:-5.1675,duration:689
Cmdms:1692957448878,m1Cmd:10.634,m2Cmd:14.016,m3Cmd:10.634,s1Cmd:12.145,s2Cmd:-5.205,duration:694
Cmdms:1692957448885,m1Cmd:10.739,m2Cmd:14.156,m3Cmd:10.739,s1Cmd:12.2675,s2Cmd:-5.2575,duration:701
Anglems:1692957448885,m1:8.408,m2:12.368,m3:9.112,s1:11.5164,s2:-4.7286 ,duration:701
Velms:1692957448885,velM1:13.176,velM2:26.352,velM3:13.176,velS1:17.7,velS2:7.8 ,duration:701
Cmdms:1692957448890,m1Cmd:10.829,m2Cmd:14.276,m3Cmd:10.829,s1Cmd:12.3725,s2Cmd:-5.3025,duration:707
Cmdms:1692957448896,m1Cmd:10.904,m2Cmd:14.376,m3Cmd:10.904,s1Cmd:12.46,s2Cmd:-5.34,duration:712
Cmdms:1692957448901,m1Cmd:10.994,m2Cmd:14.496,m3Cmd:10.994,s1Cmd:12.565,s2Cmd:-5.385,duration:718
Cmdms:1692957448906,m1Cmd:11.069,m2Cmd:14.596,m3Cmd:11.069,s1Cmd:12.6525,s2Cmd:-5.4225,duration:723
Cmdms:1692957448912,m1Cmd:11.144,m2Cmd:14.696,m3Cmd:11.144,s1Cmd:12.74,s2Cmd:-5.46,duration:728
Cmdms:1692957448917,m1Cmd:11.234,m2Cmd:14.816,m3Cmd:11.234,s1Cmd:12.845,s2Cmd:-5.505,duration:734
Cmdms:1692957448922,m1Cmd:11.309,m2Cmd:14.916,m3Cmd:11.309,s1Cmd:12.9325,s2Cmd:-5.5425,duration:739
Cmdms:1692957448928,m1Cmd:11.384,m2Cmd:15.016,m3Cmd:11.384,s1Cmd:13.02,s2Cmd:-5.58,duration:744
Anglems:1692957448928,m1:9.024,m2:12.368,m3:9.728,s1:12.3624,s2:-5.076 ,duration:744
Velms:1692957448928,velM1:13.176,velM2:26.352,velM3:8.784,velS1:17.7,velS2:7.5 ,duration:744
Cmdms:1692957448933,m1Cmd:11.474,m2Cmd:15.136,m3Cmd:11.474,s1Cmd:13.125,s2Cmd:-5.625,duration:750
Cmdms:1692957448938,m1Cmd:11.549,m2Cmd:15.236,m3Cmd:11.549,s1Cmd:13.2125,s2Cmd:-5.6625,duration:755
Cmdms:1692957448944,m1Cmd:11.639,m2Cmd:15.356,m3Cmd:11.639,s1Cmd:13.3175,s2Cmd:-5.7075,duration:761
Cmdms:1692957448949,m1Cmd:11.714,m2Cmd:15.456,m3Cmd:11.714,s1Cmd:13.405,s2Cmd:-5.745,duration:766
Cmdms:1692957448955,m1Cmd:11.789,m2Cmd:15.556,m3Cmd:11.789,s1Cmd:13.4925,s2Cmd:-5.7825,duration:771
Cmdms:1692957448960,m1Cmd:11.879,m2Cmd:15.676,m3Cmd:11.879,s1Cmd:13.5975,s2Cmd:-5.8275,duration:777
Cmdms:1692957448965,m1Cmd:11.954,m2Cmd:15.776,m3Cmd:11.954,s1Cmd:13.685,s2Cmd:-5.865,duration:782
Cmdms:1692957448971,m1Cmd:12.029,m2Cmd:15.876,m3Cmd:12.029,s1Cmd:13.7725,s2Cmd:-5.9025,duration:787
Anglems:1692957448971,m1:9.728,m2:13.248,m3:10.52,s1:12.3624,s2:-5.4342 ,duration:787
